"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1827065037975932983""","Robert F Kennedy Jr suspends independent presidential bid and will support Donald Trump https://t.co/83DZA9dWXR","Tweet","BBC Breaking News","BBCBreaking","24/8/2024, 12:57:04 am","505","299","84","1866","457142","27","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1827065037975932983","","","https://bbc.in/46WAuTx"
"=""1826957373224702109""","Family release first picture of Mike Lynch and daughter Hannah, after sixth body found in Sicily yacht wreckage
https://t.co/cjUZaTUlb6","Tweet","BBC Breaking News","BBCBreaking","23/8/2024, 5:49:15 pm","117","69","7","295","386886","18","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826957373224702109","","","https://bbc.in/470gkb7"
"=""1826930876271214872""","Divers find body of last person missing after yacht sank off Sicily, believed to be 18-year-old Hannah Lynch, Italian media report
https://t.co/okMC1xbXJt","Tweet","BBC Breaking News","BBCBreaking","23/8/2024, 4:03:58 pm","76","92","10","422","293710","16","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826930876271214872","","","https://bbc.in/3AChn4W"
"=""1826883231712514199""","Man, 32, charged with murder over death of parcel delivery driver Claudiu-Carol Kondor in Leeds, England
https://t.co/EmM6KkrCD8","Tweet","BBC Breaking News","BBCBreaking","23/8/2024, 12:54:38 pm","0","33","9","221","246175","6","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826883231712514199","","","https://bbc.in/3WZbOVB"
"=""1826865865062514866""","Typical UK household energy bill to rise by £149 a year from October under new price cap set by regulator https://t.co/GjbktwFjVh","Tweet","BBC Breaking News","BBCBreaking","23/8/2024, 11:45:38 am","469","127","111","355","393968","29","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826865865062514866","","","https://bbc.in/4cwUNrK"
"=""1826809184622449024""","Kamala Harris to make pitch to “all Americans” as she accepts Democratic nomination for president 

Watch and follow live https://t.co/Yyd60xlz4v","Tweet","BBC Breaking News","BBCBreaking","23/8/2024, 8:00:24 am","158","65","4","391","311448","6","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826809184622449024","","","https://bbc.in/3XcpvlA"
"=""1826666185749938580""","Influencer Andrew Tate placed under house arrest as Romanian prosecutors probe new human trafficking and sexual exploitation allegations
https://t.co/ZZnSe6CCWj","Tweet","BBC Breaking News","BBCBreaking","22/8/2024, 10:32:11 pm","0","203","58","1002","353034","25","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826666185749938580","","","https://bbc.in/3XaPxFL"
"=""1826643444250386455""","The One Show and Match of the Day presenter Jermaine Jenas sacked by BBC over workplace conduct, sources say
https://t.co/m4idehUP6B","Tweet","BBC Breaking News","BBCBreaking","22/8/2024, 9:01:49 pm","575","448","688","3074","4070009","287","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826643444250386455","","","https://bbc.in/4g6tt6O"
"=""1826633575950631044""","Tech tycoon Mike Lynch's body recovered from Sicily wreck, but his daughter Hannah believed still missing, source close to family tells BBC
https://t.co/TFZwcPQKaa","Tweet","BBC Breaking News","BBCBreaking","22/8/2024, 8:22:36 pm","95","78","5","248","319376","21","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826633575950631044","","","https://bbc.in/3WUo8Xu"
"=""1826602019219497468""","Police hunting for two bulldog-type dogs after man found dead in suspected attack at house in Birmingham, UK https://t.co/bJ51eLNUQH","Tweet","BBC Breaking News","BBCBreaking","22/8/2024, 6:17:12 pm","163","114","36","364","363967","23","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826602019219497468","","","https://bbc.in/4fVaNqf"
"=""1826547463974514806""","First drug to slow progression of early-stage Alzheimer's approved by UK regulator - but will not be available on the NHS https://t.co/Zoxju8YWml","Tweet","BBC Breaking News","BBCBreaking","22/8/2024, 2:40:25 pm","217","229","37","793","377701","71","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1826547463974514806","","","https://bbc.in/4doCHJL"
